user_id,first_name,last_name,email,phone,postal_code,registration_date,country,loyalty_tier,lifetime_value
USR-000001,Victoria,Harris,bruceochoa@example.com,518-943-6602x0931,73026,2024-04-21,US,silver,37.33
USR-000002,Jessica,Sutton,johnsonjohn@example.com,767.677.7365x7645,43862,2024-09-09,FR,bronze,55.37
USR-000003,Brian,Wright,austinlinda@example.net,735-511-0269x395,31308,2025-09-18,DE,platinum,78.73
USR-000004,Amanda,Dennis,jameswright@example.net,935-214-8550,19277,2023-06-26,FR,silver,86.19
USR-000005,Andre,Taylor,csmith@example.com,001-615-514-4876x216,96807,2026-07-19,UK,platinum,34.57
USR-000006,Donna,Chavez,lwright@example.net,506-995-7252x0235,61068,2025-06-11,US,silver,127.75
USR-000007,Eugene,Payne,alyssa89@example.org,001-394-695-1659,41600,2025-10-13,FR,bronze,155.81
USR-000008,Phillip,Cooke,ryan52@example.org,001-800-941-5242,71062,2023-06-06,FR,platinum,28.13
USR-000009,Jonathan,Zamora,shawterry@example.com,+1-450-714-6709x367,06328,2025-04-26,UK,silver,113.19
USR-000010,Rebecca,Wolfe,salinaskyle@example.org,570.673.4603x161,02149,2025-05-02,US,bronze,93.46
USR-000011,Brenda,Anderson,cruzjoseph@example.com,327-754-2832x86785,89637,2021-11-11,DE,silver,140.53
USR-000012,Rebecca,Myers,baileyjulia@example.org,001-555-866-1668x940,98315,2022-10-18,UK,bronze,61.53
USR-000013,John,Fowler,ashley55@example.org,001-661-713-3956x322,10284,2024-02-27,UK,silver,238.0
USR-000014,Nathaniel,Lawson,watkinschristopher@example.org,+1-869-574-8697x8487,11678,2024-06-17,US,platinum,88.22
USR-000015,Sarah,Brown,troywilliams@example.net,669.422.5916,31310,2021-08-15,CA,silver,127.57
USR-000016,David,Webb,twillis@example.org,876-531-9198,61671,2026-08-02,DE,bronze,90.91
USR-000017,Denise,Copeland,elizabeth36@example.org,(722)830-6356x73577,81810,2025-04-05,DE,silver,205.6
USR-000018,Gabriel,Franklin,lauren04@example.org,001-903-627-3032x482,91565,2026-07-16,CA,silver,54.12
USR-000019,Jamie,Leon,francesperez@example.com,(811)488-2038x06958,87181,2021-12-08,CA,silver,35.09
USR-000020,Matthew,Sellers,mckinneyclifford@example.org,617.979.0366x66369,23463,2024-02-20,CA,silver,47.47
USR-000021,Debra,Moore,bonnie45@example.org,537.990.2940,47847,2022-09-11,FR,bronze,19.44
USR-000022,Cynthia,Gonzalez,kellereric@example.com,001-752-875-6719x5030,66210,2023-11-16,FR,platinum,20.08
USR-000023,Bryan,Clarke,jacquelinemejia@example.com,(449)548-9185,67043,2024-02-12,US,platinum,43.45
USR-000024,Gary,Smith,murphyjoshua@example.com,876.749.1361x657,18545,2024-02-22,US,silver,16.03
USR-000025,Wanda,Benjamin,krodriguez@example.net,949-902-9484x94345,54146,2025-12-02,DE,platinum,78.86
USR-000026,Chase,Keith,vcooper@example.org,001-709-515-9567x83239,50783,2025-08-21,UK,silver,40.17
USR-000027,Sandra,Riley,christopher70@example.com,(218)453-6087x8072,04310,2026-02-11,US,bronze,33.98
USR-000028,Rebecca,House,andreadunn@example.org,(909)496-6763,02788,2022-08-07,UK,bronze,14.22
USR-000029,Scott,Phillips,wesley65@example.com,807.919.0565x7439,63194,2021-10-09,CA,gold,272.87
USR-000030,Jorge,Cardenas,carolynjones@example.com,001-890-395-4688x7305,08120,2025-11-07,US,bronze,98.3
USR-000031,Mark,Pollard,tammyowen@example.com,(325)647-8009x58040,51108,2022-03-19,DE,bronze,6.26
USR-000032,Leslie,Cobb,williamschad@example.net,+1-600-573-8854x67347,53176,2025-05-15,DE,silver,30.3
USR-000033,Jesse,Berry,spencerjoshua@example.org,598-459-6718,14815,2022-08-10,FR,platinum,81.38
USR-000034,Alexander,Carter,diana25@example.net,211-690-3594,22265,2024-11-29,DE,bronze,87.77
USR-000035,Justin,Petersen,annette99@example.net,001-903-823-8876,56888,2021-10-13,CA,bronze,283.16
USR-000036,Cynthia,Guerra,paula13@example.com,6396978387,88204,2025-02-06,US,platinum,26.54
USR-000037,James,Rice,rickmartin@example.net,+1-739-670-2663x82071,73801,2021-12-31,US,platinum,140.68
USR-000038,Mark,Walker,jonesterry@example.com,4574767719,04874,2025-12-22,UK,silver,26.89
USR-000039,Brian,Moore,cflores@example.com,2588923036,57898,2024-01-18,UK,gold,22.44
USR-000040,Timothy,Wheeler,josephharper@example.net,(865)957-1364,34417,2025-02-03,US,platinum,17.5
USR-000041,Cody,Mcgee,jeremy52@example.com,344.788.2526x990,14162,2025-05-30,CA,gold,86.44
USR-000042,Dakota,Rodriguez,palvarez@example.org,+1-251-757-6467,08402,2024-11-27,US,gold,9.94
USR-000043,Karen,Mathis,walleramy@example.net,001-831-293-4650x2758,33088,2026-03-19,DE,silver,44.87
USR-000044,Kevin,Reese,nicholas33@example.net,001-923-249-5245,44934,2021-12-26,CA,platinum,76.54
USR-000045,Michelle,Russo,ocastaneda@example.org,(838)480-3242x7161,94251,2026-04-02,US,silver,187.33
USR-000046,William,Welch,qbenjamin@example.com,(323)570-3854x78726,16603,2025-08-02,US,platinum,68.48
USR-000047,Eric,Ramsey,christopher23@example.org,606.325.3941x85455,71169,2024-08-31,FR,bronze,31.78
USR-000048,Lucas,Merritt,christophercannon@example.org,856.930.3282,25507,2023-03-27,UK,gold,13.04
USR-000049,Kevin,Salazar,tonya98@example.com,(271)868-9621x325,23126,2025-11-08,US,gold,249.05
USR-000050,Ricky,Herrera,ocarter@example.org,976-408-8230x9258,68745,2024-08-04,US,silver,152.36
USR-000051,Debra,Roberts,qfitzpatrick@example.org,(431)863-3084x6017,20456,2024-03-04,DE,gold,335.67
USR-000052,Alexis,Duffy,dcollins@example.net,274-391-1634x3031,51381,2023-08-30,DE,gold,51.59
USR-000053,Kayla,Reynolds,alexandriacox@example.com,314-308-5796x2295,83581,2021-08-11,FR,platinum,18.65
USR-000054,Larry,Simmons,reyestoni@example.com,001-700-526-0469x0174,67493,2025-10-01,US,bronze,54.62
USR-000055,Claudia,Stout,ivance@example.com,410-366-7884x573,56937,2023-05-07,DE,gold,41.35
USR-000056,Nancy,Pruitt,eric38@example.net,954.440.7110,81312,2024-03-07,US,bronze,67.89
USR-000057,Andrew,Sanchez,mooneydanielle@example.net,5665714853,16499,2024-02-06,FR,silver,21.87
USR-000058,Christopher,Gibson,michael12@example.net,+1-324-792-2028,86166,2022-07-04,US,platinum,81.6
USR-000059,William,Villarreal,dillon76@example.net,7122696250,63052,2025-04-14,FR,silver,174.67
USR-000060,Valerie,Taylor,hallcarolyn@example.org,8324502749,31920,2024-05-29,UK,silver,34.2
USR-000061,William,Campbell,blakesarah@example.net,676.454.3999,96359,2024-05-31,DE,gold,11.11
USR-000062,Michael,Warren,jeffreyjohnson@example.com,+1-741-248-6329x0850,99322,2025-10-02,FR,silver,13.63
USR-000063,Sharon,Dixon,vguerrero@example.net,3512823772,81017,2021-11-10,FR,platinum,33.35
USR-000064,Jon,Scott,ashleyholt@example.com,674-800-3456,43696,2024-12-21,CA,bronze,9.98
USR-000065,Tommy,Clark,kimberly96@example.com,(207)323-6604x7412,71703,2021-08-10,CA,bronze,39.5
USR-000066,Samuel,Wheeler,michaelmathews@example.net,+1-794-904-3935x16026,58324,2023-06-21,CA,silver,61.58
USR-000067,Hannah,Jordan,stacey03@example.net,001-316-536-7817x5248,44843,2022-10-27,UK,platinum,45.74
USR-000068,Paul,Adams,katelynrobinson@example.org,+1-453-995-2608x853,31530,2023-01-20,FR,bronze,142.39
USR-000069,Michelle,Davis,christine97@example.net,875-947-3770x4990,70494,2021-12-09,US,bronze,28.66
USR-000070,Kyle,Carson,vdavila@example.net,873.396.1034x0573,07209,2024-03-13,US,bronze,128.15
USR-000071,Julie,Carter,thorntontyler@example.com,(394)830-7218x87716,42480,2024-02-19,US,platinum,81.8
USR-000072,Herbert,Ortiz,kathryn10@example.com,+1-757-986-7126,91496,2022-05-26,CA,silver,18.12
USR-000073,Marie,Tran,marymatthews@example.org,(378)898-8524,03886,2024-10-16,DE,platinum,143.96
USR-000074,Kelly,Ball,erica85@example.com,373.704.3763,48789,2024-06-06,DE,bronze,69.52
USR-000075,Tasha,Johnson,grahamcindy@example.com,881-244-0004x075,20030,2022-10-17,UK,bronze,62.89
USR-000076,Michelle,Martinez,xedwards@example.org,697.429.6822x885,59935,2026-03-23,UK,platinum,245.71
USR-000077,Julia,Green,vjohnston@example.net,(651)997-3665,96545,2026-04-20,CA,silver,21.73
USR-000078,William,Houston,stephaniewashington@example.org,9539925906,16278,2024-05-23,CA,platinum,129.81
USR-000079,James,Morales,alvarezsarah@example.net,3405256004,13556,2023-08-25,FR,gold,85.42
USR-000080,Randy,Snyder,dylan07@example.org,(279)871-7635,39249,2022-06-30,CA,gold,160.09
USR-000081,Heather,Moore,wattsjason@example.net,+1-517-367-6227x0254,52440,2024-10-20,US,bronze,39.93
USR-000082,Vickie,Andrews,william64@example.com,(256)504-6782,57627,2024-09-14,CA,gold,47.53
USR-000083,Peter,Odonnell,jennifer50@example.net,(361)434-0973,20781,2025-07-26,UK,platinum,21.71
USR-000084,Emily,Ochoa,breyes@example.com,540-453-2421x69435,66112,2025-04-30,UK,platinum,48.26
USR-000085,Robin,Owens,diazpamela@example.org,705.773.2136x78864,49297,2022-04-08,US,bronze,278.8
USR-000086,Daniel,Wilson,vsmith@example.com,+1-657-305-2950x86874,17108,2025-06-19,FR,bronze,76.99
USR-000087,Matthew,Nunez,urios@example.net,(392)763-5600x6255,11955,2024-01-06,CA,silver,57.46
USR-000088,Kathleen,Matthews,xneal@example.org,001-437-984-9531,26438,2022-12-09,UK,bronze,16.74
USR-000089,Miranda,Aguirre,alyssa01@example.net,462.813.4616x4615,44460,2022-11-04,FR,bronze,53.76
USR-000090,Lisa,Anderson,rebecca70@example.net,+1-681-201-4812x97198,73318,2024-08-10,CA,platinum,70.98
USR-000091,Tammy,King,ttate@example.net,+1-212-768-1793x00805,86272,2026-02-23,UK,silver,133.67
USR-000092,William,Payne,allen34@example.net,7508810563,78005,2024-07-21,DE,bronze,60.81
USR-000093,Cynthia,Ali,yvonnedavis@example.net,(394)460-2124x67642,92992,2025-01-11,UK,bronze,69.49
USR-000094,Jessica,Knight,randymoore@example.com,498-284-9591x260,32573,2022-09-21,US,silver,585.47
USR-000095,Jennifer,Green,rwood@example.com,716.265.7813x0499,40242,2022-10-11,US,bronze,9.95
USR-000096,Walter,Leonard,groberts@example.com,250-986-2953x223,19866,2026-07-27,CA,bronze,29.53
USR-000097,Patricia,Werner,gcruz@example.org,(713)595-5745x86180,76078,2022-10-30,US,bronze,25.57
USR-000098,Nicole,Johnson,miguelschultz@example.com,(478)285-9881,57303,2024-08-29,CA,platinum,67.41
